Actual,Predicted_RF,Predicted_LR
12117.0,29639.78154196876,33431.41482747955
190000.0,144011.64349842095,165127.29649230055
8500.0,19778.16924818258,40881.226672459794
1466.0,7369.403557969807,9053.188226686092
69608.0,76977.75748296278,72861.55420480763
69608.0,73613.11422783078,70643.35931652086
85672.0,85766.7531663111,82189.74860883752
9941.0,16765.481998890547,22691.95199690102
58899.0,81187.05714260413,80107.53927675546
20098.0,29513.038471916763,50937.43202302508
163573.0,111188.788512407,92310.93883824076
180000.0,173573.9066292387,164373.16991804616
38552.0,69984.59180241449,63563.399283368606
34269.0,43422.45710168566,41184.0410450768
80000.0,102825.67462580433,129903.18884545707
138033.0,119868.7018095238,97319.98068393498
170000.0,168333.6003929143,170640.43920397147
180000.0,173138.5181409651,148704.99670323293
53545.0,71613.3986033139,65027.46759740102
66000.0,180715.36422062348,150335.09005606093
117798.0,80339.51545090604,72964.30321225653
92545.0,82536.91760586627,100507.49778772701
201104.0,186285.57657694232,132037.75297666973
64254.0,79349.37553205695,81674.35659823677
64254.0,79349.37553205695,81674.35659823677
130000.0,148071.12284046193,129090.4980982301
160634.0,76058.2707691364,63182.759577161996
53545.0,43658.6179964406,54945.90401522133
12819.0,23658.6838150077,44657.71754441046
105000.0,52581.91113136324,61968.42930474101
60702.0,92166.02345634923,97691.71764686887
80317.0,52409.12965844209,55260.47326454941
105000.0,135193.16641150333,134603.64080990103
94239.0,103960.65332079573,87941.62588416206
85672.0,86542.0591605052,94208.89517008736
230000.0,183156.1944359562,189139.4326891303
86897.0,96259.13843973305,102204.94783717794
32000.0,47406.512556653426,35670.89833340588
100297.0,94825.98704365082,110261.64656023927
26772.0,45889.58257156568,47791.3521873731
71779.0,82653.2789064432,80770.23716251687
12000.0,173768.90339345686,158169.17666346754
81150.0,61940.030805741975,57974.62381671708
91883.0,106398.65727937255,81611.08056689012
124544.0,67472.97027791655,107882.13849153099
59989.0,70344.3136350144,49772.25422673778
100000.0,121402.04457186902,131470.0061669384
165000.0,121063.24450067159,162503.53822394783
14356.0,19106.398362120326,49370.61470154376
41765.0,55036.736606838145,61996.58196188728
42836.0,27557.252734848484,37228.08620236118
55862.0,117082.43775335205,100701.40654704328
50332.0,79514.04672449223,75995.18884777027
9694.0,29256.800596764344,13753.640191130064
42836.0,59167.25363879598,49081.40368383009
17042.0,33065.01951159885,32905.546673015924
80317.0,63978.728754482094,66423.50164020053
56507.0,106958.01774405273,89177.30419527812
21810.0,56377.368494858,31801.32147465155
223054.0,93024.94543624565,97011.39080268473
4000.0,19973.471720687652,34916.77175915152
16706.0,45722.58636814469,45947.769040867446
250000.0,155086.4818007537,142501.00344865432
114000.0,162685.1418885421,192639.15773605666
36892.0,41551.5155416002,56293.39794508853
28272.0,35014.27766738817,39082.42367512623
122500.0,144764.18774521668,136170.45813138236
85672.0,63193.78833333334,87025.06125575282
100000.0,117814.17093117282,136233.73416272903
110000.0,98278.79927002208,128336.37152397574
80317.0,76449.65297278263,76910.62860244614
69715.0,106398.65727937255,81611.08056689012
110000.0,131993.64335860734,139367.3688056917
135000.0,158573.01367006556,154972.26598915824
37241.0,44224.99568518032,71652.01006829215
67466.0,49633.828580924346,58862.947318924635
64254.0,83282.68738228524,96227.82847082274
80317.0,54684.446438501545,71158.7513271216
74963.0,70952.30857471279,49018.12765248342
126621.0,89122.87925203163,77889.99726773115
250000.0,157519.54229840683,142437.72741730764
51978.0,35566.89987640137,38602.73941241732
107090.0,87141.8588886639,80559.65525600953
85672.0,61025.084959521984,72273.45266934884
77104.0,73503.24910582846,76973.90463379282
11270.0,39388.3431741526,32537.26369044323
85935.0,110555.0948055556,106471.95270103528
67451.0,61080.94922241074,62943.08159218328
46049.0,70952.30857471279,49018.12765248342
85672.0,72985.18149263404,68161.10224036366
205000.0,125300.79948481824,133036.82348841973
154209.0,90973.4870851689,74531.12053373785
165000.0,179226.58410381922,169073.62188249012
150000.0,200713.9980692181,162869.6286279115
35000.0,61055.49712018841,118906.18550860151
17319.0,24180.838231421953,36483.589080632846
132000.0,152221.13436855123,139304.09277434502
30351.0,70489.76324325675,71055.8231816864
128507.0,107477.30611976913,117647.87896096053
85672.0,41159.536754630615,54149.92575695529
42836.0,71613.3986033139,65027.46759740102
17134.0,43941.807321900305,37501.618488491884
158000.0,135193.16641150333,134603.64080990103
77104.0,32929.919216692935,55729.31267596199
48190.0,68189.56175396826,72808.25585198909
150000.0,157519.54229840683,142437.72741730764
185000.0,157519.54229840683,142437.72741730764
56227.0,72533.98724948795,66668.88126918497
